gid,config
860,i_pvwatts_fixed
861,i_pvwatts_fixed
862,i_pvwatts_fixed
863,i_pvwatts_fixed
864,i_pvwatts_fixed
865,i_pvwatts_fixed
866,i_pvwatts_fixed
867,i_pvwatts_fixed
868,i_pvwatts_fixed
869,i_pvwatts_fixed
870,i_pvwatts_fixed
871,i_pvwatts_fixed
872,i_pvwatts_fixed
873,i_pvwatts_fixed
874,i_pvwatts_fixed
875,i_pvwatts_fixed
876,i_pvwatts_fixed
877,i_pvwatts_fixed
878,i_pvwatts_fixed
879,i_pvwatts_fixed
880,i_pvwatts_fixed
881,i_pvwatts_fixed
882,i_pvwatts_fixed
883,i_pvwatts_fixed
884,i_pvwatts_fixed
885,i_pvwatts_fixed
886,i_pvwatts_fixed
887,i_pvwatts_fixed
888,i_pvwatts_fixed
889,i_pvwatts_fixed
890,i_pvwatts_fixed
891,i_pvwatts_fixed
892,i_pvwatts_fixed
893,i_pvwatts_fixed
894,i_pvwatts_fixed
895,i_pvwatts_fixed
896,i_pvwatts_fixed
897,i_pvwatts_fixed
898,i_pvwatts_fixed
899,i_pvwatts_fixed
900,i_pvwatts_fixed
901,i_pvwatts_fixed
902,i_pvwatts_fixed
903,i_pvwatts_fixed
904,i_pvwatts_fixed
905,i_pvwatts_fixed
906,i_pvwatts_fixed
907,i_pvwatts_fixed
908,i_pvwatts_fixed
909,i_pvwatts_fixed
910,i_pvwatts_fixed
911,i_pvwatts_fixed
912,i_pvwatts_fixed
913,i_pvwatts_fixed
914,i_pvwatts_fixed
915,i_pvwatts_fixed
916,i_pvwatts_fixed
917,i_pvwatts_fixed
918,i_pvwatts_fixed
919,i_pvwatts_fixed
920,i_pvwatts_fixed
921,i_pvwatts_fixed
922,i_pvwatts_fixed
923,i_pvwatts_fixed
924,i_pvwatts_fixed
925,i_pvwatts_fixed
926,i_pvwatts_fixed
927,i_pvwatts_fixed
928,i_pvwatts_fixed
929,i_pvwatts_fixed
930,i_pvwatts_fixed
931,i_pvwatts_fixed
932,i_pvwatts_fixed
933,i_pvwatts_fixed
934,i_pvwatts_fixed
935,i_pvwatts_fixed
936,i_pvwatts_fixed
937,i_pvwatts_fixed
938,i_pvwatts_fixed
939,i_pvwatts_fixed
940,i_pvwatts_fixed
941,i_pvwatts_fixed
942,i_pvwatts_fixed
943,i_pvwatts_fixed
944,i_pvwatts_fixed
945,i_pvwatts_fixed
946,i_pvwatts_fixed
947,i_pvwatts_fixed
948,i_pvwatts_fixed
949,i_pvwatts_fixed
950,i_pvwatts_fixed
951,i_pvwatts_fixed
952,i_pvwatts_fixed
953,i_pvwatts_fixed
954,i_pvwatts_fixed
955,i_pvwatts_fixed
956,i_pvwatts_fixed
957,i_pvwatts_fixed
958,i_pvwatts_fixed
959,i_pvwatts_fixed
960,i_pvwatts_fixed
961,i_pvwatts_fixed
962,i_pvwatts_fixed
963,i_pvwatts_fixed
964,i_pvwatts_fixed
965,i_pvwatts_fixed
966,i_pvwatts_fixed
967,i_pvwatts_fixed
968,i_pvwatts_fixed
969,i_pvwatts_fixed
970,i_pvwatts_fixed
971,i_pvwatts_fixed
972,i_pvwatts_fixed
973,i_pvwatts_fixed
974,i_pvwatts_fixed
975,i_pvwatts_fixed
976,i_pvwatts_fixed
977,i_pvwatts_fixed
978,i_pvwatts_fixed
979,i_pvwatts_fixed
980,i_pvwatts_fixed
981,i_pvwatts_fixed
982,i_pvwatts_fixed
983,i_pvwatts_fixed
984,i_pvwatts_fixed
985,i_pvwatts_fixed
986,i_pvwatts_fixed
987,i_pvwatts_fixed
988,i_pvwatts_fixed
989,i_pvwatts_fixed
990,i_pvwatts_fixed
